station_id,stationname,date,daytype,rides
41490,Harrison,09/05/2021,U,"2,197"
41490,Harrison,09/06/2021,U,"1,573"
41490,Harrison,09/07/2021,W,"2,244"
41490,Harrison,09/08/2021,W,"2,416"
41490,Harrison,09/09/2021,W,"2,438"
41490,Harrison,09/10/2021,W,"2,815"
41490,Harrison,09/11/2021,A,"2,737"
41490,Harrison,09/12/2021,U,"1,892"
41490,Harrison,09/13/2021,W,"2,208"
41490,Harrison,09/14/2021,W,"2,403"
41490,Harrison,09/15/2021,W,"2,480"
41490,Harrison,09/16/2021,W,"2,754"
41490,Harrison,09/17/2021,W,"3,036"
41490,Harrison,09/18/2021,A,"2,557"
41490,Harrison,09/19/2021,U,"1,915"
41490,Harrison,09/20/2021,W,"2,138"
41490,Harrison,09/21/2021,W,"2,373"
41490,Harrison,09/22/2021,W,"2,435"
41490,Harrison,09/23/2021,W,"2,405"
41490,Harrison,09/24/2021,W,"2,889"
41490,Harrison,09/25/2021,A,"3,236"
41490,Harrison,09/26/2021,U,"1,602"
41490,Harrison,09/27/2021,W,"2,226"
41490,Harrison,09/28/2021,W,"2,281"
41490,Harrison,09/29/2021,W,"2,488"
41490,Harrison,09/30/2021,W,"2,480"
41500,Montrose-Brown,09/01/2021,W,"1,033"
41500,Montrose-Brown,09/02/2021,W,"1,073"
41500,Montrose-Brown,09/03/2021,W,"1,082"
41500,Montrose-Brown,09/04/2021,A,758
41500,Montrose-Brown,09/05/2021,U,672
41500,Montrose-Brown,09/06/2021,U,442
41500,Montrose-Brown,09/07/2021,W,994
41500,Montrose-Brown,09/08/2021,W,"1,045"
41500,Montrose-Brown,09/09/2021,W,"1,157"
41500,Montrose-Brown,09/10/2021,W,"1,172"
41500,Montrose-Brown,09/11/2021,A,995
41500,Montrose-Brown,09/12/2021,U,675
41500,Montrose-Brown,09/13/2021,W,"1,057"
41500,Montrose-Brown,09/14/2021,W,"1,138"
41500,Montrose-Brown,09/15/2021,W,"1,197"
41500,Montrose-Brown,09/16/2021,W,"1,198"
41500,Montrose-Brown,09/17/2021,W,"1,202"
41500,Montrose-Brown,09/18/2021,A,"1,010"
41500,Montrose-Brown,09/19/2021,U,616
41500,Montrose-Brown,09/20/2021,W,964
41500,Montrose-Brown,09/21/2021,W,"1,156"
41500,Montrose-Brown,09/22/2021,W,"1,142"
41500,Montrose-Brown,09/23/2021,W,"1,152"
41500,Montrose-Brown,09/24/2021,W,"1,195"
41500,Montrose-Brown,09/25/2021,A,854
41500,Montrose-Brown,09/26/2021,U,623
41500,Montrose-Brown,09/27/2021,W,"1,052"
41500,Montrose-Brown,09/28/2021,W,"1,134"
41500,Montrose-Brown,09/29/2021,W,"1,147"
41500,Montrose-Brown,09/30/2021,W,"1,164"
41510,Morgan-Lake,09/01/2021,W,"1,747"
41510,Morgan-Lake,09/02/2021,W,"1,908"
41510,Morgan-Lake,09/03/2021,W,"2,076"
41510,Morgan-Lake,09/04/2021,A,"2,358"
41510,Morgan-Lake,09/05/2021,U,"2,235"
41510,Morgan-Lake,09/06/2021,U,"1,295"
41510,Morgan-Lake,09/07/2021,W,"1,496"
41510,Morgan-Lake,09/08/2021,W,"1,808"
41510,Morgan-Lake,09/09/2021,W,"1,993"
41510,Morgan-Lake,09/10/2021,W,"2,506"
